Dates,ABBV,NASDAQ,SPX,DJI,10Y Yield,ABBVP,NASDAQP,SPXP,DJIP
15/9/2017,0.023780983,0.013875263,0.01573537,0.021572763,2.2,164.76,117.02,76.87,69.53
22/9/2017,0.001246412,-0.003317667,0.000791542,0.00365717,2.26,165.09,116.3,77.01,70.15
29/9/2017,0.01576823,0.010725844,0.006892266,0.002527182,2.33,169.27,118.62,78.23,70.58
6/10/2017,0.018345898,0.014500046,0.011894743,0.016414586,2.37,174.21,121.79,80.35,73.38
13/10/2017,0.002005762,0.002389648,0.001497089,0.004325758,2.28,174.76,122.32,80.62,74.13
20/10/2017,0.059870432,0.003508456,0.008636917,0.019985069,2.39,191.21,123.1,82.18,77.61
27/10/2017,-0.043370763,0.010891977,0.002250521,0.004504251,2.42,178.58,125.53,82.59,78.41
3/11/2017,0.004128078,0.00944442,0.002628841,0.004484054,2.34,179.73,127.66,83.07,79.21
10/11/2017,0.033782576,-0.002020557,-0.002130333,-0.004966241,2.4,189.18,127.2,82.68,78.32
17/11/2017,-0.019053876,0.004709507,-0.001368513,-0.002747869,2.35,183.67,128.27,82.43,77.83
